month_year,handle,sentiment,twitter_engagement,personality_openness,personality_extraversion,personality_agreeableness,personality_conscientiousness,political_Libertarian,political_Liberal,political_Green,political_Conservative,personas_advocate,personas_debater,personas_mediator,personas_consul,personas_executive,personas_adventurer,personas_logistician,personas_commander,personas_entrepreneur,personas_logician,personas_protagonist,personas_architect,personas_campaigner,personas_entertainer,personas_defender,personas_virtuoso,emotion_anger,emotion_joy,emotion_fear,emotion_sadness,emotion_surprise
'April2017',realDonaldTrump,0.677427929,0.573041677,0.55089355,0.466351833,0.48393818,0.503218285,0.229632603,0.192960352,0.341065893,0.236341148,0.077498694,0.065553706,0.071872455,0.04610385,0.048768937,0.053711774,0.063140557,0.068533057,0.047472406,0.082859883,0.063898389,0.088911252,0.060389375,0.044225395,0.056232963,0.060827305,0.161021798,0.264722373,0.210994072,0.25308754,0.110174222
'March2017',realDonaldTrump,0.603465402,0.566604486,0.529829447,0.452402156,0.46963699,0.520193259,0.246752877,0.202506521,0.347031861,0.203708735,0.074306349,0.06018497,0.065196327,0.048955151,0.053528492,0.054170883,0.071579086,0.068188417,0.048360114,0.082702875,0.060669316,0.091892138,0.051463665,0.042330879,0.059261248,0.067210089,0.173056952,0.258319574,0.202156195,0.269582632,0.096884645
'February2017',realDonaldTrump,0.532064238,0.570835905,0.549199183,0.479070583,0.491475887,0.505134246,0.287472704,0.194379973,0.299324972,0.218822354,0.076345905,0.066445798,0.068969528,0.051451204,0.050732696,0.050749202,0.060283163,0.071838893,0.047100557,0.079520143,0.068234526,0.087821567,0.062402189,0.046879107,0.055818312,0.05540721,0.235811459,0.223043705,0.200232206,0.242500899,0.098411737
'January2017',realDonaldTrump,0.510160759,0.570950772,0.54428372,0.481033832,0.489353844,0.502993443,0.261053077,0.20337692,0.309732572,0.225837441,0.073683572,0.067244335,0.068639346,0.051827441,0.052161714,0.052725832,0.060495454,0.071393009,0.049262691,0.078827777,0.067516043,0.082645291,0.061736896,0.047368869,0.056172879,0.058298851,0.223884991,0.220426061,0.189678815,0.260679657,0.105330479
'December2016',realDonaldTrump,0.583561443,0.566262805,0.531063012,0.479984987,0.497519689,0.50561923,0.271504601,0.204610931,0.326159051,0.197725419,0.072577166,0.063144507,0.067517418,0.055381452,0.052438073,0.057451236,0.062078343,0.068689612,0.049046575,0.073673949,0.066344234,0.079807691,0.060805751,0.05091112,0.06081418,0.059318693,0.234620412,0.232259819,0.183841958,0.247494907,0.101782902
'November2016',realDonaldTrump,0.618811643,0.561608619,0.524802449,0.471194145,0.504282831,0.503246736,0.239305278,0.193486137,0.34825403,0.218954557,0.074685471,0.058444732,0.071430354,0.055071855,0.050914215,0.061965529,0.064574725,0.060888817,0.048790621,0.073664179,0.064013702,0.075699047,0.060331564,0.051495979,0.06493585,0.06309336,0.178252425,0.22858826,0.203406178,0.279935415,0.109817725
'October2016',realDonaldTrump,0.557079288,0.534846126,0.524809482,0.439104212,0.472113613,0.509443592,0.232600795,0.193114799,0.340606874,0.233677534,0.072840237,0.057386193,0.072543996,0.045794064,0.04960751,0.063934543,0.073935645,0.058145066,0.048891053,0.085532212,0.052246867,0.085195863,0.050901762,0.044179026,0.064317584,0.074548377,0.221977757,0.165669556,0.225773543,0.314901145,0.071678002
'September2016',realDonaldTrump,0.606063046,0.554755097,0.518890627,0.463549847,0.503573872,0.511866717,0.238790505,0.19986634,0.338345365,0.222997793,0.076925592,0.055529325,0.070132834,0.055887083,0.052025056,0.061670118,0.067654522,0.060592494,0.047278776,0.073014548,0.063287695,0.078717224,0.056911019,0.04967157,0.067836013,0.06286613,0.186993908,0.225002413,0.211703768,0.274490097,0.101809818
'August2016',realDonaldTrump,0.565215554,0.549086721,0.524613693,0.476278067,0.512987451,0.510201198,0.242698014,0.196374584,0.330440622,0.230486783,0.077777197,0.057634015,0.069949412,0.058917621,0.052442341,0.058552545,0.063438554,0.064109153,0.045967502,0.070535142,0.068780311,0.077287748,0.060633855,0.050363808,0.066430101,0.057180695,0.187252446,0.229443613,0.229728604,0.263967595,0.08960774
'July2016',realDonaldTrump,0.493216147,0.562501953,0.54176388,0.483330958,0.511591304,0.49746358,0.250221009,0.20384567,0.314866777,0.231066551,0.076996729,0.062591566,0.075162594,0.055440323,0.050423051,0.057030203,0.058282221,0.065540396,0.046512575,0.075069283,0.069008283,0.076161935,0.065123999,0.05000721,0.060943487,0.055706146,0.215751458,0.207682589,0.189795001,0.2771791,0.109591856
'June2016',realDonaldTrump,0.525676383,0.556274537,0.531939005,0.484819657,0.510864637,0.49975758,0.250980171,0.196241535,0.307675585,0.24510271,0.075195244,0.06112197,0.071336489,0.057749179,0.051832409,0.058552902,0.058912904,0.063900117,0.049426987,0.072568216,0.068153187,0.075610485,0.063529769,0.05331994,0.061871707,0.056918495,0.214346005,0.216303736,0.189742108,0.275933436,0.103674718
'May2016',realDonaldTrump,0.528052601,0.56561997,0.533081787,0.487454346,0.518155821,0.498387912,0.252298172,0.196796612,0.309331719,0.241573499,0.076328734,0.059752377,0.07310272,0.058988484,0.051481819,0.058488013,0.058188353,0.063287692,0.047770476,0.071345864,0.070161332,0.073899327,0.065583349,0.053883994,0.062133633,0.055603833,0.188856119,0.248514805,0.184507011,0.249061085,0.129060984
April2016',realDonaldTrump,0.672682747,0.536615648,0.507149715,0.475699884,0.517324898,0.513401167,0.249092014,0.191878374,0.350333926,0.208695684,0.075775355,0.05308598,0.066910235,0.063360315,0.054382246,0.062268848,0.065490028,0.059277462,0.048780388,0.06636389,0.067210656,0.073487056,0.058544008,0.05482057,0.070429153,0.05981381,0.14841968,0.288135121,0.201454938,0.243912793,0.118077468
